ReviewID,Phrases,Phrase_Count
2608,professional smiling,1
2608,positive note,1
2608,offer better,1
2608,looking hand,1
2615,food good,1
2615,immigration pretty,1
2615,get superior,1
2618,comfortable enjoyable,1
2476,good service,1
2618,friendly pleasant,1
2476,pleasant might,1
2618,friendly cheerful,1
2618,flight hand,1
2618,everyone best,1
2618,enjoyable plate,1
2618,enjoyable flight,1
2618,crew enjoyable,1
2476,staff good,1
2618,cheerful crew,1
2477,crew friendly,1
2618,chatty friendly,1
2618,better breakfast,1
2618,best make,1
2617,superb flight,1
2477,bug entertainment,1
2617,staff smart,1
2617,smart professional,1
2617,seats perfectly,1
2617,proud fly,1
2617,perfectly comfortable,1
2618,good flying,1
2618,hand well,1
2618,happy plus,1
2618,meal happy,1
2621,help passengers,1
2620,plus definitely,1
2620,nonetheless comfortable,1
2620,highly recommend,1
2620,definitely showing,1
2620,definitely economy,1
2620,comfortable pre,1
2619,nice chap,1
2619,medicines friend,1
2619,kind made,1
2619,help customer,1
2476,good pleasant,1
2619,friend brought,1
2619,call nice,1
2619,announcement kind,1
2619,absolutely help,1
2618,way better,1
2618,time friendly,1
2618,seats comfortable,1
2618,pleasant everyone,1
2618,overall good,1
2617,friendly announcements,1
2617,felt proud,1
2615,going super,1
2615,pretty tasty,1
2615,treat ba,1
2615,things interested,1
2615,superior meal,1
2615,super long,1
2615,see attraction,1
2477,helpful lounge,1
2615,room nice,1
2477,impressive cabin,1
2615,room fantastic,1
2615,real bonus,1
2615,pretty quickly,1
2477,delays united,1
2615,plus pretty,1
2615,ok good,1
2477,lounge impressive,1
2615,nicer meal,1
2615,nice treat,1
2615,interested watch,1
2615,inflight entertainment,1
2615,hand european,1
2615,good expecting,1
2615,good airline,1
2615,useful arriving,1
2477,good flight,1
2615,york free,1
2616,better drinks,1
2617,comfortable staff,1
2617,clear friendly,1
2617,clean seats,1
2617,aircraft clean,1
2616,worked perfectly,1
2616,surprisingly good,1
2616,surprisingly comfortable,1
2616,still good,1
2616,perfectly throughout,1
2616,particularly like,1
2616,happy assist,1
2616,good still,1
2616,good cx,1
2616,fast efficient,1
2477,entertainment system,1
2616,fa happy,1
2616,efficient particularly,1
2477,food good,1
2616,comfortable slim,1
2477,friendly attentive,1
2616,better overall,1
2606,considerate enough,1
2605,seat free,1
2478,entertainment excellent,1
2590,help british,1
2591,clean throughout,1
2591,better usual,1
2478,inflight entertainment,1
2590,says great,1
2590,safety friend,1
2590,safe young,1
2590,minutes help,1
2590,importantly safety,1
2590,hope phone,1
2590,help turned,1
2590,help average,1
2588,welcome drinks,1
2590,great deal,1
2590,glimmer hope,1
2590,disorganization help,1
2590,cancellation help,1
2478,mix friendly,1
2590,call help,1
2589,seem pretty,1
2589,pretty obvious,1
2478,narrow comfortable,1
2589,entertainment particularly,1
2591,comfortable hour,1
2591,crew excellent,1
2591,entertainment better,1
2591,especially like,1
2593,encourage everyone,1
2593,comfortable airline,1
2592,understanding pretty,1
2592,superior cabin,1
2592,far superior,1
2592,commend try,1
2592,better seems,1
2591,toilets clean,1
2591,spacious relaxed,1
2591,seats comfortable,1
2591,relaxed yet,1
2591,relaxed seats,1
2591,opportunity store,1
2591,liked bins,1
2591,inflight entertainment,1
2591,hand inflight,1
2591,gave opportunity,1
2591,flight liked,1
2478,heathrow excellent,1
2591,excellent relaxed,1
2591,example hand,1
2589,atlantic entertainment,1
2478,nice cosmopolitan,1
2593,reasonably comfortable,1
2584,airways impressed,1
2586,good experience,1
2586,economy good,1
2586,away good,1
2585,ways comfortable,1
2585,helpful friendly,1
2585,friendly staff,1
2585,comfortable helpful,1
2584,impressed service,1
2584,good moments,1
2584,feel good,1
2583,young good,1
2588,truly great,1
2583,thankfully board,1
2583,seats good,1
2583,heathrow good,1
2583,good tea,1
2583,good singapore,1
2583,good move,1
2583,good job,1
2583,good couple,1
2583,excellent steam,1
2583,dinner excellent,1
2586,good product,1
2478,seats comfortable,1
2586,good sleep,1
2586,great day,1
2588,time pleasant,1
2588,supply welcome,1
2588,seats good,1
2588,reasonable good,1
2478,nice serve,1
2478,offer excellent,1
2588,pleasant experience,1
2588,loving windows,1
2588,great experience,1
2588,good like,1
2588,good compared,1
2588,experience loving,1
2588,definitely recommended,1
2588,class truly,1
2588,airlines definitely,1
2586,way terrific,1
2586,terrific way,1
2586,seat great,1
2586,really good,1
2586,nice las,1
2586,happy entertaiment,1
2478,good quality,1
2593,would encourage,1
2606,comfortable sit,1
2600,friendly however,1
2601,great job,1
2601,crew great,1
2600,superior seats,1
2600,shows good,1
2600,seats entertainment,1
2600,meals good,1
2478,excellent wines,1
2600,helpful friendly,1
2600,good however,1
2600,good helpful,1
2600,far superior,1
2598,staff friendly,1
2600,far better,1
2600,entertainment rather,1
2600,crew good,1
2600,better seats,1
2599,party wanted,1
2599,party sit,1
2599,outset happy,1
2599,infant party,1
2599,happy party,1
2599,experience excellent,1
2602,amazed since,1
2602,athens good,1
2602,good fillet,1
2602,refrigerated good,1
2606,comfortable position,1
2478,excellent good,1
2606,agent considerate,1
2622,airy useful,1
2605,moved good,1
2605,good seats,1
2478,excellent overcrowded,1
2605,free week,1
2604,interested serving,1
2604,crew interested,1
2604,comfortable flat,1
2604,class comfortable,1
2603,willing help,1
2603,service excellent,1
2603,seats perfectly,1
2603,perfectly acceptable,1
2603,nice willing,1
2603,help food,1
2603,excellent seats,1
2603,crew nice,1
2602,service amazed,1
2599,excellent flight,1
2598,seats comfortable,1
2478,good amenity,1
2595,courteous professional,1
2595,good smoked,1
2478,food nice,1
2595,good selection,1
2595,geneva efficient,1
2478,friendly professional,1
2595,food good,1
2595,flights excellent,1
2595,excellent compared,1
2595,excellent cabin,1
2595,efficient seat,1
2595,compared united,1
2598,saw definitely,1
2595,comfortable economy,1
2595,better airlines,1
2595,approachable courteous,1
2595,appreciated time,1
2594,ripping definitely,1
2594,profit ripping,1
2594,much profit,1
2594,legs entertainment,1
2594,entertainment tv,1
2594,definitely going,1
2595,ife excellent,1
2595,later good,1
2595,month good,1
2595,provided appreciated,1
2598,roomy comfortable,1
2598,friendly even,1
2598,definitely going,1
2598,comfortable staff,1
2598,comfortable less,1
2597,true business,1
2597,hardware good,1
2597,great wines,1
2597,great first,1
2597,good great,1
2597,good enough,1
2597,good crew,1
2597,first good,1
2597,crew great,1
2597,bookings good,1
