ReviewID,Phrases,Phrase_Count
2403,call poor,1
2403,choice poor,1
2403,fault passenger,1
2403,front broken,1
2400,crew rude,1
2398,know block,1
2398,block middle,1
2395,broken raised,1
2392,upsetting lot,1
2393,europe poor,1
2393,heathrow worst,1
2393,poor breakfast,1
2393,seats shocking,1
2393,shocking lack,1
2393,toilet waste,1
2393,waste bin,1
2393,worst thing,1
2395,failed cope,1
2396,unacceptable first,1
2395,generally tired,1
2395,system failed,1
2395,table broken,1
2396,arrogant check,1
2396,available unacceptable,1
2396,pathetic left,1
2396,poor experience,1
2396,rather arrogant,1
2396,rather pathetic,1
2377,aircraft woefully,1
2375,know problem,1
2334,service negative,1
2355,offer poor,1
2347,fault spending,1
2348,bad ride,1
2348,breakfast disappointment,1
2348,disappointment would,1
2348,sad one,1
2348,think tired,1
2348,tired worn,1
2348,worn bad,1
2349,awful meal,1
2350,stupid mistake,1
2353,airways degraded,1
2353,current sad,1
2353,degraded economy,1
2353,making stress,1
2353,offer poor,1
2353,poor quality,1
2353,sad state,1
2353,stress checking,1
2355,airways degraded,1
2355,current sad,1
2355,degraded economy,1
2347,course fault,1
2345,particularly annoying,1
2345,annoying see,1
2339,broken hence,1
2335,absolutely complaints,1
2336,worse counter,1
2336,worse talking,1
2337,bad meals,1
2337,sad see,1
2337,sector sad,1
2337,unbelievably bad,1
2338,disgusting type,1
2338,food disgusting,1
2339,busy terrible,1
2344,uncomfortable difficult,1
2339,choice unhealthy,1
2339,economy broken,1
2339,national tragedy,1
2284,worst flight,1
2339,tragedy one,1
2339,unhealthy bacon,1
2340,awful old,1
2340,march worst,1
2340,worst flight,1
2355,making stress,1
2355,poor quality,1
2374,rather dull,1
2355,sad state,1
2365,organized chaos,1
2365,problems machines,1
2366,even worse,1
2366,worse arrived,1
2367,completely terrible,1
2367,extremely rude,1
2367,problem people,1
2367,rude provide,1
2367,terrible customer,1
2368,torture impossible,1
2369,airlines wrong,1
2369,booking suffer,1
2369,stupidly thought,1
2369,suffer expensive,1
2369,wrong avoid,1
2373,stressful seat,1
2373,unnecessarily stressful,1
2374,ages dirty,1
2374,chaotic baggage,1
2374,dirty crockery,1
2374,looked chaotic,1
2365,heathrow problems,1
2365,feels bad,1
2365,chaos economy,1
2361,something wrong,1
2355,stress checking,1
2356,complaints department,1
2356,dreadful climb,1
2356,hours complaints,1
2357,one problem,1
2358,absolutely terrible,1
2358,also unacceptable,1
2358,terrible seats,1
2358,unacceptable charge,1
2363,awful date,1
2365,bad interrupt,1
2363,block middle,1
2363,old awful,1
2363,sit block,1
2364,disappointed meal,1
2364,disappointing gold,1
2364,either disappointing,1
2364,service shame,1
2364,shame airlines,1
2364,uncomfortable disappointed,1
2284,wrong way,1
2282,shame otherwise,1
2284,us wrong,1
2215,incredibly rude,1
2212,offending regular,1
2212,worrying disturbing,1
2214,total disgrace,1
2215,athens chaotic,1
2215,bad weather,1
2215,became problematic,1
2215,chaos long,1
2215,chaotic unsystematic,1
2215,crew poor,1
2215,due bad,1
2215,passengers unfortunate,1
2284,terrible ca,1
2215,poor given,1
2215,problematic assigned,1
2215,profile worse,1
2215,resulted chaos,1
2215,rude abrupt,1
2215,unfortunate seat,1
2215,went wrong,1
2215,worse treatment,1
2215,wrong beginning,1
2216,simply terrible,1
2212,freshen annoying,1
2212,disturbing anyone,1
2211,terrible people,1
2211,service terrible,1
2203,disaster board,1
2203,fixing problem,1
2203,problem let,1
2204,disappointment return,1
2204,explanation rude,1
2204,rude attendant,1
2205,frustrated passengers,1
2205,getting frustrated,1
2207,made worse,1
2207,worse pilot,1
2208,absolutely terrible,1
2208,arrogant explain,1
2208,rude arrogant,1
2208,staff rude,1
2208,terrible service,1
2209,boarding chaotic,1
2209,chaotic could,1
2209,delayed difficult,1
2209,rather rudely,1
2209,rudely ba,1
2211,airways worst,1
2216,terrible really,1
2217,accolade worst,1
2217,back problems,1
2220,complained received,1
2220,forced seem,1
2220,late chaotic,1
2220,later complained,1
2220,levels contempt,1
2220,use forced,1
2223,error part,1
2223,flight rude,1
2223,planes uncomfortably,1
2223,plus error,1
2223,poor old,1
2223,room poor,1
2223,rude passengers,1
2223,standing wrong,1
2223,uncomfortably hot,1
2223,wrong lines,1
2226,airways awful,1
2226,awful experience,1
2226,broken uncomfortable,1
2226,tv broken,1
2227,heathrow tired,1
2227,problems always,1
2220,contempt customer,1
2220,chaotic group,1
2217,difficult struggle,1
2219,wrong gate,1
2217,experienced problem,1
2217,failed deliver,1
2217,money failed,1
2217,problem airlines,1
2217,problems make,1
2217,quite difficult,1
2217,worst going,1
2218,landing poor,1
2218,poor woman,1
2218,service suffer,1
2218,sick due,1
2218,suffer staff,1
2218,woman sick,1
2219,add insult,1
2219,carriers complained,1
2219,complained ba,1
2219,complained supervisor,1
2219,injury flight,1
2219,insult injury,1
2219,search complained,1
2219,taken wrong,1
2203,amsterdam disaster,1
2202,wrong name,1
2202,wrong checking,1
2186,rudeness disregard,1
2187,negative reviews,1
2187,reading negative,1
2188,bad fortunately,1
2188,business bad,1
2188,sadly british,1
2188,suffered longer,1
2188,year suffered,1
2189,dirty carpet,1
2189,dirty cutlery,1
2189,food poor,1
2189,plane dirty,1
2189,poor dirty,1
2190,customers furious,1
2190,disappointed british,1
2190,disaster also,1
2190,encountered rude,1
2190,extremely disappointed,1
2190,furious screaming,1
2190,problem daughter,1
2190,rude lady,1
2190,screaming lonely,1
2187,low disappointed,1
2185,terminal poor,1
2191,ba chaos,1
2185,poor selection,1
2175,started badly,1
2175,without success,1
2175,worse bengaluru,1
2176,planes tired,1
2176,tired worn,1
2177,ba terrible,1
2177,terrible service,1
2178,late pathetic,1
2178,pathetic one,1
2179,airways ruined,1
2180,ba shocking,1
2180,issues poor,1
2180,poor legroom,1
2180,said scary,1
2180,scary view,1
2180,shocking customer,1
2181,disappointing first,1
2184,dealt rude,1
2184,least superior,1
2184,rude unhelpful,1
2185,bad bunch,1
2190,total disaster,1
2191,chaos come,1
2202,wrong boarding,1
2199,irresponsible people,1
2199,miserable compensation,1
2199,poor malaysia,1
2199,utterly irresponsible,1
2199,world fail,1
2200,apart miserable,1
2200,bad apart,1
2200,card bad,1
2200,class lousy,1
2200,complained high,1
2200,lousy set,1
2200,miserable seat,1
2200,service complained,1
2200,snob means,1
2200,wcs snob,1
2202,bit rude,1
2202,extremely poor,1
2202,gave wrong,1
2202,luggage wrong,1
2202,poor service,1
2202,rude days,1
2202,went wrong,1
2199,left poor,1
2199,fail show,1
2191,chaotic tables,1
2199,believe bad,1
2191,cluttered dirty,1
2191,dirty plates,1
2191,lounge chaotic,1
2191,much resentment,1
2191,recruit useless,1
2191,resentment towards,1
2191,useless staff,1
2192,product dreadful,1
2193,also dirty,1
2193,awful passengers,1
2193,dirty unkept,1
2193,jfk awful,1
2194,resented pay,1
2195,refusing pay,1
2196,aisle terrible,1
2196,extremely uncomfortable,1
2196,terrible way,1
2197,rude unprofessional,1
2197,unprofessional flights,1
2199,airline miserable,1
2199,bad british,1
2227,rude employee,1
2227,stand rude,1
2228,part poor,1
2270,awful selection,1
2270,fail miserably,1
2270,gate worse,1
2270,many negative,1
2270,miserably achieve,1
2270,negative reviews,1
2270,panicked race,1
2270,right fail,1
2270,running panicked,1
2270,worse arrivals,1
2271,even worse,1
2271,worse snack,1
2272,breakfast poor,1
2272,poor small,1
2272,starving dinner,1
2272,time starving,1
2273,probably worst,1
2273,worst ever,1
2275,completely ignoring,1
2275,dispute charge,1
2275,forcing dispute,1
2275,ignoring point,1
2270,chairs awful,1
2269,seating bad,1
2276,dire seats,1
2269,bad thing,1
2261,rude obnoxious,1
2261,sadly return,1
2261,seems awful,1
2261,staff rude,1
2263,dated unattractive,1
2263,unattractive product,1
2264,inferior hardware,1
2264,let inferior,1
2264,poor resolution,1
2264,screen poor,1
2266,airline shame,1
2266,find unacceptable,1
2266,shame service,1
2266,unacceptable full,1
2267,disturbance downside,1
2268,ae inferior,1
2268,biggest problem,1
2268,disappointment ife,1
2268,inferior many,1
2268,problem video,1
2268,real disappointment,1
2275,nasty response,1
2276,gatwick dire,1
2261,obnoxious possible,1
2280,made worse,1
2280,trip disappoint,1
2280,unpleasant experience,1
2280,worse ordered,1
2281,information rude,1
2281,rude staff,1
2282,badly need,1
2282,ife shame,1
2282,seats badly,1
2403,poor understanding,1
2283,configuration problem,1
2283,problem use,1
2284,bad comical,1
2284,error another,1
2284,fault colleague,1
2284,food bad,1
2284,one worst,1
2284,poor selection,1
2284,problem fault,1
2284,rebooked problem,1
2284,screen poor,1
2284,service terrible,1
2280,problems way,1
2280,hear problems,1
2277,annoying noise,1
2280,food awful,1
2277,bad flight,1
2277,bit annoying,1
2277,poor choice,1
2277,screen poor,1
2279,arguing one,1
2279,chaotic stressful,1
2279,fights witnessed,1
2279,heathrow chaotic,1
2279,made unpleasant,1
2279,mins worst,1
2279,passengers arguing,1
2279,pathetic barely,1
2279,process shame,1
2279,separate fights,1
2279,shame turned,1
2279,something worse,1
2279,unpleasant calling,1
2279,worse low,1
2279,worst thing,1
2280,disappoint flight,1
2280,dreaded flight,1
2261,rude cabin,1
2261,much miserable,1
2229,minor negative,1
2241,food awful,1
2241,poor indeed,1
2241,shocking small,1
2241,system shocking,1
2242,fault return,1
2242,repairs fault,1
2243,map mock,1
2243,mock pilot,1
2244,awful croissant,1
2244,described awful,1
2244,painful experience,1
2244,slow painful,1
2244,worse easyjet,1
2245,disappointing experience,1
2245,irritated eyes,1
2245,irritated time,1
2245,resolution terrible,1
2245,seemed irritated,1
2245,terrible irritated,1
2245,us disappointing,1
2246,awful also,1
2246,daily hate,1
